game_id,espn_game_id,game_uid,season,season_type,date,week,home_away,winner,team_id,team_uid,team_city,team_name,team_abbr,team_full,team_color,team_color_alt,team_logo,team_order,team_score,team_record,pass_att,pass_cmp,pass_yds,pass_avg,pass_td,pass_int,pass_sacks,pass_sack_yds,pass_qbr,pass_rtg,rush_att,rush_yds,rush_avg,rush_td,rush_long,rec_total,rec_yds,rec_avg,rec_td,rec_long,rec_tgts,fum_total,fum_lost,fum_rec,def_tkl,def_solo_tkl,def_sacks,def_tfl,def_pd,def_qb_hts,def_td,int_total,int_yds,int_td,kick_ret_no,kick_ret_yds,kick_ret_avg,kick_ret_long,kick_ret_td,punt_ret_no,punt_ret_yds,punt_ret_avg,punt_ret_long,punt_ret_td,kick_fg_made,kick_fg_att,kick_fg_pct,kick_long,kick_xp_made,kick_xp_att,kick_pts,punt_no,punt_yds,punt_avg,punt_tb,punt_in_20,punt_long,first_downs,pass_1st_downs,rush_1st_downs,first_downs_from_penalties,third_down_conv,third_down_att,fourth_down_conv,fourth_down_att,total_plays,total_yards,yards_per_play,total_drives,redzone_att,redzone_conv,penalties,pen_yards,turnovers,def_sp_tds,possess_time,current,wallclockAvailable,guid,boxscoreMinutes,gameNote
2026_01_NE_SEA,401872656,s:20~l:28~e:401872656,2026,2,2026-09-10T00:20Z,1,away,0,17,s:20~l:28~t:17,New England,Patriots,NE,New England Patriots,002a5c,c60c30,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,10,0-1,23,33,168,5.4,1,3,3,10,NA,54.9,31,109,3.5,0,16,23,178,7.7,1,19,31,NA,NA,NA,52,38,2,3,2,6,0,NA,NA,NA,4,107,26.8,29,0,NA,NA,NA,NA,NA,1,1,100,50,1,1,4,4,177,44.3,0,3,46,19,9,7,3,5,16,2,2,67,277,4.1,9,2,1,7,50,3,0,34:17,TRUE,TRUE,0078f353-fe3e-67ed-a42c-43cca0568e21,TRUE,NA
2026_01_NE_SEA,401872656,s:20~l:28~e:401872656,2026,2,2026-09-10T00:20Z,1,home,1,26,s:20~l:28~t:26,Seattle,Seahawks,SEA,Seattle Seahawks,002a5c,69be28,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,0,13,1-0,17,24,188,8.3,1,0,2,12,NA,109.7,22,97,4.4,0,14,17,200,11.8,1,45,24,NA,NA,NA,74,44,3,9,6,5,0,3,30,0,3,80,26.7,30,0,1,9,9,9,0,2,2,100,30,1,1,7,5,227,45.4,0,3,50,13,9,4,0,2,11,1,1,48,285,5.9,10,2,0,10,98,0,0,25:43,TRUE,TRUE,3767a23c-a17d-294f-288a-9086ad1f0680,TRUE,NA
2026_01_SF_LA,401872657,s:20~l:28~e:401872657,2026,2,2026-09-11T00:35Z,1,away,1,25,s:20~l:28~t:25,San Francisco,49ers,SF,San Francisco 49ers,aa0000,b3995d,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,27,1-0,25,34,205,6,3,1,0,0,NA,105.6,30,174,5.8,0,18,25,205,8.2,3,39,34,0,0,1,69,33,0,2,4,8,0,1,0,0,2,74,37,45,0,2,17,8.5,13,0,2,3,66.7,56,3,3,9,2,94,47,1,0,51,23,12,10,1,7,12,0,0,64,379,5.9,9,3,2,2,21,1,0,33:50,TRUE,TRUE,985a261f-296c-c95c-32a5-addc4df75001,TRUE,NFL Melbourne Game
2026_01_SF_LA,401872657,s:20~l:28~e:401872657,2026,2,2026-09-11T00:35Z,1,home,0,14,s:20~l:28~t:14,Los Angeles,Rams,LA,Los Angeles Rams,003594,ffd100,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,0,7,0-1,17,28,168,6,0,1,0,0,NA,62.8,29,122,4.2,1,13,17,168,9.9,0,41,27,2,1,1,78,36,0,1,7,2,0,1,0,0,5,119,23.8,31,0,1,11,11,11,0,0,0,0,0,1,1,1,3,145,48.3,0,2,54,15,6,7,2,2,9,1,3,57,290,5.1,10,3,1,4,43,2,0,26:10,TRUE,TRUE,2e1473b2-e269-fd7a-1137-c1edacb85986,TRUE,NFL Melbourne Game
2026_01_CHI_CAR,401872661,s:20~l:28~e:401872661,2026,2,2026-09-13T17:00Z,1,away,1,3,s:20~l:28~t:3,Chicago,Bears,CHI,Chicago Bears,0b1c3a,e64100,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,59,1-0,21,29,261,9.3,2,0,2,8,NA,124.1,39,291,7.5,6,61,21,269,12.8,2,47,26,1,1,2,65,31,2,2,3,5,0,1,0,0,4,85,21.3,23,0,1,23,23,23,0,1,1,100,40,8,8,11,2,102,51,0,0,54,26,13,11,2,10,14,0,1,70,552,7.9,14,4,4,12,57,1,0,34:03,TRUE,TRUE,19d73366-b5a5-cca2-a176-a2c024ce0bb3,TRUE,NA
2026_01_CHI_CAR,401872661,s:20~l:28~e:401872661,2026,2,2026-09-13T17:00Z,1,home,0,29,s:20~l:28~t:29,Carolina,Panthers,CAR,Carolina Panthers,0085ca,000000,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,0,37,0-1,23,38,353,9.5,3,1,2,8,NA,107.5,22,125,5.7,2,24,23,361,15.7,3,51,34,2,2,1,73,46,2,4,1,3,0,NA,NA,NA,7,153,21.9,29,0,2,17,8.5,17,0,1,1,100,44,4,5,7,3,147,49,1,0,61,24,17,5,2,4,9,0,1,62,478,7.7,13,4,4,11,84,3,0,25:57,TRUE,TRUE,647c27bf-ab86-550e-5b83-91c29e73e4a9,TRUE,NA
2026_01_TB_CIN,401872925,s:20~l:28~e:401872925,2026,2,2026-09-13T17:00Z,1,away,0,27,s:20~l:28~t:27,Tampa Bay,Buccaneers,TB,Tampa Bay Buccaneers,bd1c36,3e3a35,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,1,27,0-1,23,28,193,7.7,0,0,4,23,NA,98.8,20,89,4.5,2,10,23,216,9.4,0,30,27,4,4,0,66,46,1,5,6,6,1,1,38,1,7,206,29.4,47,0,1,13,13,13,0,2,2,100,51,3,3,9,NA,NA,NA,NA,NA,NA,19,12,5,2,5,10,0,0,52,282,5.4,9,4,2,8,39,4,1,28:35,TRUE,TRUE,13e8b157-a75a-ff24-ae91-fa3d52ddf204,TRUE,NA
2026_01_TB_CIN,401872925,s:20~l:28~e:401872925,2026,2,2026-09-13T17:00Z,1,home,1,4,s:20~l:28~t:4,Cincinnati,Bengals,CIN,Cincinnati Bengals,fb4f14,000000,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,0,33,1-0,25,35,245,7.3,1,1,1,9,NA,89.5,27,106,3.9,1,13,25,254,10.2,1,29,34,0,0,4,63,41,4,5,1,6,1,NA,NA,NA,6,142,23.7,26,0,NA,NA,NA,NA,NA,4,4,100,58,3,3,15,1,51,51,0,0,51,26,14,10,2,8,14,0,0,63,351,5.6,9,5,2,7,47,1,1,31:25,TRUE,TRUE,75b8623b-8926-b411-0476-3d3602b78523,TRUE,NA
2026_01_NO_DET,401872923,s:20~l:28~e:401872923,2026,2,2026-09-13T17:00Z,1,away,0,18,s:20~l:28~t:18,New Orleans,Saints,NO,New Orleans Saints,d3bc8d,000000,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,1,30,0-1,35,56,378,7.3,3,2,5,32,NA,87.7,25,91,3.6,1,18,35,410,11.7,3,47,52,2,1,2,84,42,1,5,5,8,0,NA,NA,NA,4,74,18.5,21,0,4,21,5.3,16,0,1,2,50,28,3,3,6,5,238,47.6,0,2,57,29,19,7,3,8,17,2,2,86,469,5.5,14,5,4,6,53,3,0,31:35,TRUE,TRUE,97d2f6c9-2f22-459c-306a-046941ccab2a,TRUE,NA
2026_01_NO_DET,401872923,s:20~l:28~e:401872923,2026,2,2026-09-13T17:00Z,1,home,1,8,s:20~l:28~t:8,Detroit,Lions,DET,Detroit Lions,0076b6,bbbbbb,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,0,31,1-0,26,39,204,5.3,2,0,1,2,NA,96.7,33,165,5,2,21,26,206,7.9,2,22,39,2,1,2,82,54,5,7,8,9,0,2,4,0,4,84,21,33,0,3,35,11.7,17,0,1,1,100,23,4,4,7,7,336,48,1,3,56,26,10,14,2,5,13,0,0,73,369,5.1,14,5,4,8,61,1,0,36:51,TRUE,TRUE,56caffee-178d-f6f2-a076-b277486b8c32,TRUE,NA
